Company,Company public response,State,ZIP code,Company response to consumer,Complaint ID
EXPERIAN DELAWARE GP,Company has responded to the consumer and the CFPB and chooses not to provide a public response,TX,77075,Closed with non-monetary relief,2397100
"CITIBANK, N.A.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,IL,62025,Closed with explanation,2441830
"Shellpoint Partners, LLC",Company believes it acted appropriately as authorized by contract or law,CA,90305,Closed with explanation,2436165
U.S. BANCORP,Company has responded to the consumer and the CFPB and chooses not to provide a public response,LA,70571,Closed with explanation,2441726
"WELLS FARGO BANK, NATIONAL ASSOCIATION",Company has responded to the consumer and the CFPB and chooses not to provide a public response,NJ,8618,Closed with explanation,1931957
UNITED SERVICES AUTOMOBILE ASSOCIATION,Company believes it acted appropriately as authorized by contract or law,WI,54005,Closed with explanation,2393048
AMERICAN NEIGHBORHOOD MORTGAGE,,NJ,088XX,Closed with monetary relief,2216206
"SUNTRUST BANKS, INC.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,MD,208XX,Closed with explanation,2444452
"PMGI, LLC",,CA,92356,Closed with non-monetary relief,2214174
Ditech Financial LLC,,CA,913XX,Closed with explanation,2438698
"MUFG UNION BANK, NATIONAL ASSOCIATION",Company has responded to the consumer and the CFPB and chooses not to provide a public response,CA,92026,Closed with explanation,2411860
"BANK OF AMERICA, NATIONAL ASSOCIATION",Company has responded to the consumer and the CFPB and chooses not to provide a public response,WA,98023,Closed with explanation,2419089
"Navient Solutions, LLC.",,PA,185XX,Closed with explanation,2443388
"EQUIFAX, INC.",,CA,92683,Closed with explanation,2371648
"BANK OF AMERICA, NATIONAL ASSOCIATION",,CA,90242,Closed with non-monetary relief,81081
BARCLAYS BANK DELAWARE,Company has responded to the consumer and the CFPB and chooses not to provide a public response,VA,22315,Closed with explanation,2423410
NETSPEND CORPORATION,Company believes it acted appropriately as authorized by contract or law,NC,281XX,Closed with explanation,2445609
Resurgent Capital Services L.P.,,TX,75686,Closed with explanation,2371815
