Complaint ID,Consumer disputed?,Consumer consent provided?,Submitted via
2397100,No,N/A,Phone
2441830,No,N/A,Referral
2436165,No,N/A,Referral
2441726,No,N/A,Postal mail
1931957,No,N/A,Referral
2393048,No,N/A,Referral
2216206,No,Consent provided,Web
2444452,No,,Web
2214174,No,N/A,Postal mail
2438698,No,Other,Web
2411860,No,Consent not provided,Web
2419089,No,N/A,Phone
2443388,No,,Web
2371648,No,Consent not provided,Web
81081,No,N/A,Referral
2423410,No,Consent not provided,Web
2445609,No,,Web
2371815,No,Consent not provided,Web
1776912,No,N/A,Postal mail
2444768,No,,Web
2437313,No,Consent not provided,Web
2389782,No,Consent not provided,Web
2439594,No,N/A,Referral
2371691,No,Consent not provided,Web
2437915,No,N/A,Referral
2371744,Yes,Consent provided,Web
2397793,No,Consent not provided,Web
2444582,No,,Web
2371928,No,Consent provided,Web
2424942,No,N/A,Postal mail
2371893,No,Consent not provided,Web
2440213,No,Consent not provided,Web
2491746,N/A,N/A,Postal mail
1084242,No,N/A,Referral
2431565,No,Consent provided,Web
2443256,No,N/A,Referral
2398113,No,Consent not provided,Web
2425048,No,N/A,Referral
1706577,No,Consent not provided,Web
2398377,No,Consent not provided,Web
2398200,No,Consent provided,Web
2441825,No,N/A,Referral
2371632,No,Consent not provided,Web
2443560,No,Consent not provided,Web
2447351,No,,Web
2371789,No,Consent not provided,Web
2381695,No,N/A,Fax
2416625,No,N/A,Referral
2371634,No,Consent not provided,Web
2421775,No,N/A,Referral
2371616,No,Consent provided,Web
2418794,No,N/A,Referral
139273,No,N/A,Postal mail
2380778,No,N/A,Referral
2487189,N/A,,Web
2480232,N/A,N/A,Postal mail
2440513,No,N/A,Referral
2444790,No,N/A,Phone
2442270,No,N/A,Postal mail
2444577,No,,Web
2444123,No,,Web
2399982,No,N/A,Referral
2373228,No,Consent provided,Web
2425815,No,N/A,Referral
2436277,No,Consent provided,Web
2475321,N/A,N/A,Postal mail
2490991,N/A,Consent not provided,Web
2440804,No,Consent not provided,Web
2488530,N/A,,Web
2371938,No,Consent not provided,Web
2444855,No,Consent not provided,Web
1914423,No,Consent provided,Web
2371593,Yes,Consent not provided,Web
2371642,No,Consent not provided,Web
2437474,No,N/A,Phone
2440352,No,N/A,Postal mail
2444285,No,,Web
215643,No,N/A,Fax
2446884,No,,Web
2426136,No,Consent provided,Web
2439654,No,N/A,Referral
2369802,No,N/A,Phone
2423941,No,Consent not provided,Web
2364897,No,Consent not provided,Web
2441457,No,N/A,Referral
924254,Yes,N/A,Web
2371846,No,Consent not provided,Web
2371764,Yes,Consent not provided,Web
2488334,N/A,,Web
2497289,N/A,Consent not provided,Web
2425528,No,Consent not provided,Web
2424184,No,Consent provided,Web
2424950,No,Consent not provided,Web
1901482,No,Consent not provided,Web
2416121,No,N/A,Phone
2414034,No,Consent not provided,Web
2412732,No,Consent provided,Web
2481686,N/A,,Web
2491541,N/A,,Web
2490912,N/A,Consent not provided,Web
2491020,N/A,,Web
2447348,No,,Web
2329445,No,Consent provided,Web
2424946,No,N/A,Phone
2390487,No,Consent not provided,Web
2444869,No,,Web
2442124,No,,Web
2428039,No,N/A,Phone
2445935,No,,Web
1989521,No,N/A,Referral
2371677,No,Consent provided,Web
2438333,No,N/A,Phone
460443,No,N/A,Web
1179936,No,N/A,Web
1263989,No,N/A,Postal mail
2223190,No,Consent not provided,Web
2424358,No,Consent not provided,Web
2425260,No,N/A,Referral
2417442,No,Consent not provided,Web
2422048,No,Consent not provided,Web
2371598,No,Consent not provided,Web
2397947,No,Consent not provided,Web
1009652,No,N/A,Web
2419713,No,Consent provided,Web
2443056,No,Consent not provided,Web
2397805,No,Consent not provided,Web
2420825,No,Consent provided,Web
1849932,No,N/A,Referral
2401871,No,Consent provided,Web
2397046,No,Consent provided,Web
2446753,No,N/A,Postal mail
2439229,No,N/A,Phone
224922,No,N/A,Referral
2371574,No,Consent not provided,Web
2371781,No,Consent not provided,Web
2367674,No,N/A,Referral
2367513,Yes,Consent not provided,Web
2372209,No,Consent provided,Web
2371864,No,Consent provided,Web
2444609,No,Consent not provided,Web
2436789,No,Consent not provided,Web
215434,No,N/A,Fax
2383241,No,Consent provided,Web
2437217,No,Consent provided,Web
2432049,No,N/A,Referral
2374511,No,N/A,Phone
2412744,No,Consent provided,Web
1077763,No,N/A,Postal mail
2443963,No,,Web
2443667,No,N/A,Postal mail
2371786,No,Consent not provided,Web
2440060,No,N/A,Referral
2371600,Yes,Consent not provided,Web
2440304,No,N/A,Referral
2199513,No,Consent not provided,Web
